tag,name,A_MHz,B_MHz,C_MHz,doc_url
033501,PH 2,273783.51,1.0,126343.83,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033501.cat
033502,"13 CH 3 OH, v t = 0, 1",127527.4,24083.5,23197.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033502.cat
033503,NH 2 OH,190976.2,25218.73,25156.55,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033503.cat
033504,SH –,,282240.8,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033504.cat
033505,SH +,,273810.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033505.cat
033506,D 2 13 CO,141668.5,31732.265,25823.499,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033506.cat
033507,15 N 18 O,,46414.1,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033507.cat
033508,"SH, v = 0",,283616.9,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033508.cat
033509,"SH, v = 1",,275268.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033509.cat
033510,HDC 18 O,198003.9,33139.76,28281.23,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033510.cat
033511,"CH 3 OD, v t = 0",110176.7,23478.2,21990.6,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033511.cat
033512,"CH 3 OD, v t = 1",110176.7,23478.2,21990.6,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033512.cat
033513,"CH 3 17 OH, v t = 0",126684.0,24138.1,23244.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033513.cat
033514,"CH 3 17 OH, v t = 1",126684.0,24138.1,23244.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033514.cat
033515,"CH 3 17 OH, v t = 0 ↔ 1",126684.0,24138.1,23244.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e033515.cat
034501,PH 3,1.0,133480.128,117489.43,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034501.cat
034502,H 2 S,310667.83,270331.83,141789.63,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034502.cat
034503,O 18 O,,40707.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034503.cat
034504,"CH 3 18 OH, v t ≤ 2",127285.3749,23651.2578,22787.1066,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034504.cat
034505,D 2 C 18 O,141649.3,30594.8,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034505.cat
034506,"CHD 2 OH, v t = 0",,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e034506.cat
