tag	molecule	#lines	lg(Q(300))	lg(Q(225))	lg(Q(150))	lg(Q(75))	lg(Q(37.500))	lg(Q(18.750))	lg(Q(9.375))
43001	CHDCO	886	3.825000053564479	3.6375000363790626	3.3699998489528826	2.9183999591717544	2.4709996378615084	2.021801016468613	1.5739965227793502
43002	HNCO	6078	3.891299952407868	3.7095999672283173	3.447500058635252	2.9969002618636833	2.547299551304324	2.1121993365742258	1.7509016274030376
43003	AlO	1023	3.594000071452838	3.4691000457142462	3.293100130632873	2.9925999048975704	2.693000172639487	2.3947002782766003	2.0994009178736275
43004	CP	397	3.0212467462260517	2.8964182366949336	2.720599578849924	2.4205758677810656	2.12170327226859	1.8250663288017863	1.5328855390430356
43005	13CH313CN	1256	4.018113888318928	3.830609029370128	3.5664433141770524	3.115145651076588	2.6652913335229904	2.2286000061320954	1.8196459169682986
44001	CS	51	2.4073994033011132	2.2829006788212034	2.1071013824534277	1.8071966607109473	1.5083950331330531	1.211787762900892	0.9199144806594316
44002	SiO	31	2.4581995569811697	2.3342003387840258	2.1593987361138773	1.8593004516799168	1.5602056229700592	1.263209848572749	0.9703003754021777
44003	CH3CHO	47034	4.938725227426195	4.69940167908857	4.359687616880981	3.812632905636844	3.3333509532207777	2.88095402955032	2.43155143533015
44004	N2O	1926	2.7509013961944	2.5928695207248964	2.399598621838712	2.0960614417040824	1.796162737866876	1.4974521467410895	1.2010856316906446
44006	DNCO	5504	3.97550009537321	3.8264999438545138	3.5931001225921047	3.1547999756679648	2.7051004619153547	2.2574001532665373	1.8327004709605674
44007	HN-15-CO	888	3.411699992521414	3.2401999250846014	2.984499859664267	2.5348000348742032	2.0843009587901866	1.6465997517203734	1.2793018372746163
44008	HNC-13-O	4332	3.87219999146872	3.7016001026649663	3.446599914675925	2.997399928581423	2.547800540834991	2.112601650483977	1.7510018062308736
44010	HCP	34	2.4942005265826377	2.370999478608071	2.1955011358297685	1.8953009707723316	1.5961020477181131	1.298809426529585	1.0051805125037803
44011	AlOH	766	3.377991763877683	3.253040052741811	3.077055609797176	2.776618384171226	2.476980810130748	2.1788388714711386	1.8836500809010934
44013	C3H8	183835	5.8963183898267175	5.557463890601046	5.161802079714294	4.621788848950842	4.161158292206182	3.7107940999303275	3.2619761913978125
45001	C-13-S	29	2.432400008177615	2.308000638732734	2.1320995219165044	1.8320999724859048	1.53309811245941	1.2364112877439664	0.9439888750737718
45002	Si-29-O	66	2.4637004240047227	2.34080092259556	2.1648998412130274	1.8647008950832242	1.565599916843713	1.2686013707396633	0.9754777631658746
45003	NH2CHO	3476	4.464700220064373	4.26669980480661	4.013400051245911	3.560300063531115	3.1116999491797457	2.661999987859309	2.214099083299104
45005	HCS+	64	2.4676007069774797	2.342700934945513	2.1669005666611154	1.8668010979389118	1.5676967099418642	1.270608970823178	0.9774949690730363
45006	HNCO-18	4929	3.90969993230028	3.7316000454163962	3.471299927363307	3.0207999139837183	2.5711997220209817	2.13589875161268	1.7741007195036604
45007	NN-15-O	104	2.697405117961739	2.572517868154868	2.396575049845598	2.0960816319109172	1.7961932912265886	1.4974825373673704	1.201115697737619
45008	N-15-NO	106	2.7122867963196806	2.587396520761512	2.411447469001984	2.1109346522253074	1.8110069687682384	1.512218640495159	1.2156930692252113
45009	DCP	34	2.562000063193049	2.4406997520374705	2.2656996778203555	1.9654980305929766	1.6660028864947212	1.3681008517093514	1.0733883811151776
45010	HOCO+	1745	3.3749000477105966	3.22880007470289	2.9989999722183205	2.5630002475452227	2.112601650483977	1.6692982808324146	1.2847013785241779
